Comment,Designator,Footprint,LCSC
USB_B_Micro,J5,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,C10418
Conn_01x33_Female,"J2,J3",PinSocket_1x33_P2.54mm_Vertical,C12345 (example)
TEPT4400,Q3,LED_D3.0mm_Clear,C132178
AP9101CK,U1,SOT-23-6,C151339
10n,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710
10k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
1k,"R14,R15,R18,R19,R24",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
2.2k,R23,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17520
2.7k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17530
22k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17560
330,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17634
470,"R12,R13",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710
47k,"R10,R11,R20,R21,R4,R5,R7,R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713
1k,R22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17737
4.7u,"C6,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779
1N4001,"D12,D7",D_SOD-323,C191023
VL618V1NR-1,"U3,U6",VL6180,C2655167
TP4054-23-5,U4,SOT-23-5,C32574
100n,"C1,C10,C12,C2,C3,C5,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
CAT24C256,U5,SOIC-8_3.9x4.9mm_P1.27mm,C79987
D_Zener,D4,ZMM3V3-M,C8056
LED,"D5,D6,D8,D9",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
2N7000,"Q1,Q2",TO-92_Inline,C8545
D_Schottky,"D1,D13",D_SOD-123,C8598
CP2102N-Axx-xQFN20,U7,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,C969913
Conn_01x33_Female,J1,PinHeader_1x33_P2.54mm_Vertical,
Conn_01x33_Female,J4,PinHeader_1x33_P2.54mm_Vertical,
Jumper_2_Bridged,JP4,PinHeader_1x02_P2.54mm_Vertical,
TestPoint,TP7,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP11,PinHeader_1x01_P2.54mm_Vertical,
Jumper_2_Bridged,JP11,PinHeader_1x02_P2.54mm_Vertical,
TestPoint,TP9,PinHeader_1x01_P2.54mm_Vertical,
Jumper_2_Bridged,JP9,PinHeader_1x02_P2.54mm_Vertical,
TestPoint,TP8,PinHeader_1x01_P2.54mm_Vertical,
Jumper_2_Bridged,JP2,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Bridged,JP5,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Bridged,JP7,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Bridged,JP6,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Bridged,JP1,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Bridged,JP8,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Bridged,JP3,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Bridged,JP10,PinHeader_1x02_P2.54mm_Vertical,
